"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"189",189,794,1,12.33322494,393.7458667,349.8287185,0.617599691,26.18289,1199.977333,"186","wet",3,2010,"S16","Pre","North"
"190",190,807,1,14.81888444,393.3016774,292.3708876,0.272319931,26.1443871,1199.989677,"187","dry",3,2010,"S16","Pre","North"
"191",191,820,1,9.320918734,395.3233667,336.9453959,0.323937575,26.02190667,1200.021667,"187","wet",3,2010,"S16","Pre","North"
"192",192,833,1,11.9521518,394.2018333,333.0117181,0.39501938,25.89934667,1200.009667,"189","dry",3,2010,"S16","Pre","North"
"193",193,846,1,13.03872053,393.4275,342.3985208,0.546631223,25.96059,1200.008667,"189","wet",3,2010,"S16","Pre","North"
"194",194,859,1,14.23278408,392.9702,337.4519073,0.539798015,26.09658,1199.991667,"190","dry",3,2010,"S16","Pre","North"
"195",195,872,1,11.11878538,394.2672258,348.0322311,0.528069947,26.00771935,1200.007742,"190","wet",3,2010,"S16","Pre","North"
"196",196,1106,1,14.56608434,392.5311935,351.0479791,0.803486701,26.16399355,1199.996129,"3","dry",3,2010,"S02","Pre","South"
"197",197,1119,1,13.55300024,392.4862581,357.6816271,0.971328774,26.13511935,1200.012581,"3","wet",3,2010,"S02","Pre","South"
"198",198,1158,1,14.35063189,392.9851333,341.3325318,0.586713519,26.15952333,1200.013,"342","dry",3,2011,"S36","Pre","North"
"199",199,1171,1,12.65032016,393.4445161,354.2835957,0.742492079,26.29545484,1200.008387,"342","wet",3,2011,"S36","Pre","North"
"200",200,1184,1,13.63429084,393.4264839,334.0839915,0.465661082,25.94820323,1199.995484,"343","dry",3,2011,"S36","Pre","North"
"201",201,1197,1,16.75253899,391.647,345.4053901,0.800872109,26.22631,1199.999667,"343","wet",3,2011,"S36","Pre","North"
"202",202,1210,1,12.55674997,393.8951,343.7026445,0.525881031,26.29339667,1200.007333,"344","dry",3,2011,"S36","Pre","North"
"203",203,1223,1,14.27131274,392.5573333,349.7606883,0.765362712,26.05635333,1200.005333,"344","wet",3,2011,"S36","Pre","North"
